collection_no,record_type,lng,lat,collection_name,collection_subset,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,ref_author,ref_pubyr,reference_no,reference_nos,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments,paleomodel,paleolng,paleolat,geoplate,formation,stratgroup,member,stratscale,zone,localsection,localbed,localorder,regionalsection,regionalbed,regionalorder,stratcomments,time_bins,time_contain,time_major,time_buffer,time_overlap,lithdescript,lithology1,lithadj1,lithification1,minor_lithology1,fossilsfrom1,lithology2,lithadj2,lithification2,minor_lithology2,fossilsfrom2,environment,tectonic_setting,geology_comments,collection_type,collection_methods,museum,collection_coverage,collection_size,rock_censused,collectors,collection_dates,collection_comments,taxonomy_comments,research_group,primary_reference,authorizer_no,enterer_no,modifier_no,authorizer,enterer,modifier,created,modified,direct_ma,direct_ma_error,direct_ma_method,formation_alt,member_alt,stratgroup_alt,interval_lb,interval_ub,rock_no_sr,formation_no,rock_unit_senior,rock2_no_sr,formation2_no,rock_unit_senior2,ma_lb,ma_ub,zone_species,non_taxon_zone,non_taxon_zone_label
1310,col,-79.383331,33.849998,Jablonski & Raup Locality 20,0,,71,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,South Carolina,,,minutes,basin,South Carolina ,gp_mid,-44.98,37.19,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-20, vetted by DJ in 1991, additions by DJ '92, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1311,col,-77.949997,34.266666,Jablonski & Raup Locality 21,0,,81,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,North Carolina,,,minutes,basin,North Carolina ,gp_mid,-43.41,37.1,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-21, vet by DJ '91, comb.w/vet-98, adds by DJ '92 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,2/17/94,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1312,col,-76.849998,38.916668,Jablonski & Raup Locality 22,0,,66,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Maryland,,,minutes,basin,Maryland ,gp_mid,-39.9,40.97,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-22, vetted by DJ in 1991, '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1313,col,-74.116669,40.400002,Jablonski & Raup Locality 23,0,,142,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,New Jersey,,,minutes,basin,New Jersey ,gp_mid,-36.52,41.4,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-23, vet by DJ '91 (comb w/ vet-95), DJ adds in '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,2/17/94,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1348,col,-76.916664,39,Jablonski & Raup Locality 122,0,,27,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Maryland,,,degrees,basin,Maryland,gp_mid,-39.91,41.07,109,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,history: DJ new (92) - replaces old vet-122,marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1356,col,-102.183334,25.5,Jablonski & Raup Locality 140,0,,18,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,MX,,,,minutes,basin,Mexico,gp_mid,-71.87,36.62,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: old m-140, vetted by DJ in 1991",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,4/9/99,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1375,col,-73,6,Jablonski & Raup Locality 190,0,,31,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,CO,,,,degrees,basin,Colombia,gp_mid,-49.9,5.94,201,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: new-505, DJ 1992",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,4/9/99,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1391,col,-88.949997,34.166668,Jablonski & Raup Locality 215,0,,62,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Mississippi,Pontotoc,,minutes,local area,Mississippi (Pontotoc Co) ,gp_mid,-54.18,40.63,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: DJ new (92), corrected by DJ '94",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1392,col,-96.300003,32.583332,Jablonski & Raup Locality 222,0,,75,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Kaufman,,minutes,local area,Texas (Kaufman Co) ,gp_mid,-62.51,41.51,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: DJ new (92), vetted by DJ '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1393,col,-96.449997,32.066666,Jablonski & Raup Locality 223,0,,91,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Navarro,,minutes,local area,Texas (Navarro Co) ,gp_mid,-62.92,41.07,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: DJ new (92), vetted by DJ '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma1,Ma1,0,0,,0,0,,72.1,70,,,
1395,col,-98.01667,29.6,Jablonski & Raup Locality 226,0,,35,Maastrichtian,Maastrichtian,72.1,66,Jablonski and Raup,1999,40,40,US,Texas,Guadalupe,,minutes,local area,Texas (Guadalupe Co) ,gp_mid,-65.72,39.25,101,,,,formation,,,,,,,,,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,Maastrichtian,,,,,,,,,,,,,,,,,,some macrofossils,,,,,,"history: DJ new (92), vetted by DJ '94 ",marine invertebrate,D. Jablonski and D. M. Raup. 1999. Unpublished data on Cretaceous-Paleocene molluscan assemblages.,29,29,4,D. Jablonski,D. Jablonski,J. Alroy,1/6/93,8/30/01,0,0,,,,,Ma2,Ma2,0,0,,0,0,,70,66,,,
1441,col,-87.800003,31.5,Little Stave Creek (H76-34-10),0,H76-34,39,Lutetian,Lutetian,47.8,41.3,Hansen,1978,42,42,US,Alabama,Clarke,based on nearby landmark,minutes,small collection,"Little Stave Creek near Jackson, Alabama.",gp_mid,-68.04,35.12,109,Lisbon,,Upper,bed,,H76-34,10,,,,,,Lutetian,Lutetian,Lutetian,Lutetian,Lutetian,,siltstone,"glauconitic,gray",unlithified,,,,,,,,offshore,passive margin,"""Blue gray glauconitic sand.""",paleoecologic,"bulk,mechanical,sieve,field collection",,,,,,,,,marine invertebrate,"T. A. Hansen. 1978. Ecological control of evolutionary rates in Paleocene - Eocene marine molluscs. Ph.D. Thesis, Yale University",3,66,4,T. Hansen,M. Sommers,J. Alroy,4/15/99,9/14/06,0,0,,,,,Eo5,Eo5,18908,18908,Lisbon,0,0,,43.4,41.3,,,
2419,col,-88.252777,31.837221,"Barrytown Al, lower sellaeformis bed, bag #1",0,ACh-8-b1,61,Bartonian,Bartonian,41.3,37.8,Ivany,1997,72,72,US,Alabama,Choctaw,based on nearby landmark,seconds,small collection,"road cut on west side of county road 21, .1 mi south of Souwilpa Creek and about a mile south of junction with cr14 in Barrytown AL",gp_mid,-70.95,35.55,109,Lisbon,,Upper,bed,,,,,,,,lower part of upper Lisbon,Bartonian,Bartonian,Bartonian,Bartonian,Bartonian,,marl,glauconitic,unlithified,,,,,,,,offshore,passive margin,"glauconitic sandy marl, Cubitostrea sellaeformis oyster bed",paleoecologic,"bulk,mechanical,sieve,field collection",,,,,,,,includes all countable macrofossils ,"GCP,marine invertebrate","L. C. Ivany. 1997. Faunal stability and environmental change in the middle Eocene Gulf Coastal Plain (PhD Thesis, Harvard University).",6,6,64,L. Ivany,L. Ivany,J. Sessa,7/3/99,8/10/10,0,0,,,,,Eo5,Eo5,18908,18908,Lisbon,0,0,,43.4,41.3,,,
2859,col,-87.260834,32.12278,AWi-8 (Porters Creek),0,,23,Danian,Danian,66,61.6,Toulmin,1977,124,"1,242,850,629,915",US,Alabama,Wilcox,based on nearby landmark,seconds,small collection,"in SE1/4 sec. 15, T 11 N, R 11 E, 5 mi Ne of Pine Apple on Wilcox Co. Hwy. 7 on E side of Pine Barren Creek",gp_mid,-56.51,37.2,109,Porters Creek,,Lower,group of beds,,,,,,,,Local section name: AWi-8\r\nLower Porters Creek=Danian (JAS 14Oct2010),Danian,Danian,Danian,Danian,Danian,,claystone,gray,unlithified,calcareous,,,,,,,offshore,,"The lower 2 m of the PCF are well exposed and include laminated mudstone and claystone with dispersed glauconite and foraminifera and centimeter-diameter, glauconite-ﬁlled, horizontal burrows. The lower part of the PCF is overlain by a 2-3 m interval of discontinuous iron oxide concretions. Above the concretion zone, the upper PCF is massive mudstone in medium to thick beds. (Larsen et al. 2015)",biostratigraphic,field collection,,,,,,,,,"GCP,marine invertebrate","L. D. Toulmin. 1977. Stratigraphic Distribution of Paleocene and Eocene Fossils in the Eastern Gulf Coast Region. Geological Survey of Alabama, Monograph 13(1):1-602",1,61,166,M. Patzkowsky,K. Layou,M. Clapham,7/21/99,10/27/20,0,0,,,,,Pa2,Pa2,18834,18834,Porters Creek,0,0,,62.2,61.6,,,
2862,col,-87.023613,31.929722,AWi-10,0,,16,Danian,Danian,66,61.6,Toulmin,1977,124,"1,242,850,629,915",US,Alabama,Wilcox,based on nearby landmark,seconds,small collection,"exposure in small gully a few feet N of road 1 mile E of Allenton Station and 4.5 miles N of Pine Apple in W1/2 sec. 18, T 11n, R 11 E",gp_mid,-56.36,36.94,109,Porters Creek,,Lower,group of beds,,,,,,,,Local section name: AWi-10\r\nLower Porters Creek=Danian (JAS 14Oct2010),Danian,Danian,Danian,Danian,Danian,"clay, greenish-gray, weathers yellow, massive, calcareous, sparsely glauconitic, fossiliferous; contains small white calcareous masses and phosphatic nodules.",claystone,"concretionary,glauconitic,phosphatic,gray,green,yellow",poorly lithified,calcareous,,,,,,,shallow subtidal indet.,,,biostratigraphic,field collection,,,,,,,,,"GCP,marine invertebrate","L. D. Toulmin. 1977. Stratigraphic Distribution of Paleocene and Eocene Fossils in the Eastern Gulf Coast Region. Geological Survey of Alabama, Monograph 13(1):1-602",1,61,351,M. Patzkowsky,K. Layou,L. Eccles,7/21/99,9/30/11,0,0,,,,,Pa2,Pa2,18834,18834,Porters Creek,0,0,,62.2,61.6,,,
2863,col,-87.130554,31.977501,AWi-26 (Porters Creek),0,,10,Danian,Danian,66,61.6,Toulmin,1977,124,"1,242,850,629,915",US,Alabama,Wilcox,based on nearby landmark,seconds,small collection,"roadcut 0.7 mile S of Darlington on line between secs. 35 and 36, T 12 N, R 9 E",gp_mid,-56.44,37.02,109,Porters Creek,,Lower,group of beds,,,,,,,,Lower Porters Creek=Danian (JAS 14Oct2010),Danian,Danian,Danian,Danian,Danian,,claystone,,,"silty,calcareous",,,,,,,shallow subtidal indet.,,,biostratigraphic,field collection,,,,,,,,,"GCP,marine invertebrate","L. D. Toulmin. 1977. Stratigraphic Distribution of Paleocene and Eocene Fossils in the Eastern Gulf Coast Region. Geological Survey of Alabama, Monograph 13(1):1-602",1,61,351,M. Patzkowsky,K. Layou,L. Eccles,7/21/99,9/30/11,0,0,,,,,Pa2,Pa2,18834,18834,Porters Creek,0,0,,62.2,61.6,,,
3113,col,-74.683334,39.971943,"Vincentown Formation, NJ",0,,155,Thanetian,Thanetian,59.2,56,Cook and Ramsdell,1991,140,"1,401,664,018,120",US,New Jersey,,estimated from map,seconds,local area,"""The Vincentown Fm. occurs in an irregular, narrow belt extending diagonally [NE-SW] across NJ through portions of Monmouth, Ocean, burlington, Camden, Gloucester, and Salem Counties, near the inner margin of the Outer Coastal Plain",gp_mid,-44.51,40.13,109,Vincentown,,,formation,,New Jersey,,,,,,,Thanetian,Thanetian,Thanetian,Thanetian,Thanetian,,sandstone,glauconitic,,"sandy,calcareous",,,,,,,,,"lithology described as a calcareous ""lime sand"" interbedded with a quartz or ""yellow sand""",biostratigraphic,,,,,,,,,this is the most updated faunal list for the Vincentown Fm,marine invertebrate,J. J. Cook and R. C. Ramsdell. 1991. Macrofossils from the Vincentown Formation (Paleocene) of New Jersey. Bulletin of the New Jersey Academy of Science 36(1):11-15,1,61,4,M. Patzkowsky,K. Layou,J. Alroy,7/26/99,8/27/07,0,0,,,,,Pa4,Pa4,20238,20238,Vincentown,0,0,,59.2,56,,,
